inscription_id,sign_sequence,site,object_type,line_count,damaged,reading_direction,motif
M-119A,P001 P309 P195 P122 P086 P035 P270 P145 P154 P230,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-120A,P324 P009 P288 P325 P349 P044,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-121A,P324 P154 P355 P058 P075,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-122A,P217 P147 P316,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-123A,P098 P014 P202 P114,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-124A,P324 P175 P050 P145,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-125A,P000 P144 P108,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-126A,P000 P230 P234 P120 P256,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-127A,P238 P324 P060 P324 P194,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-128A,P324 P175 P364 P324 P208 P316,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-129A,P217 P058 P062 P060 P325 P293,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-130A,P324 P003 P050 P145 P122 P032,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-131A,P324 P086 P276 P325 P086 P355,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-132A,P004 P123 P226,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-133A,P301 P230 P062 P050 P073 P369 P174 P110,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-134A,P390 P145 P256,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-135A,P217 P147 P316 P144,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-136A,P013 P324 P050 P126 P144 P177 P226,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-137A,P379,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-138A,P324 P154 P125,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-139A,P147 P368 P061 P325 P294,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-140A,P324 P309 P145 P050 P201 P283 P221,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-141A,P000 P122 P000,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-142A,P022 P011 P122 P385,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-143A,P324 P082 P122 P145 P170 P349,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-144A,P324 P009 P092 P062 P122 P385,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-145A,P324 P098 P031 P384,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-146A,P324 P073 P160 P120 P256,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-147A,P051 P364 P122 P050 P221 P217,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-148A,P324 P385 P231,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-149A,P324 P332 P283 P120 P230,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-150A,P324 P368,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-151A,P050 P201 P393,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
